"lower.limit","upper.limit","intrvl.width","intrvl.level","cdf","pvalue","svalue","ci_label","interval_text","excludes_null"
-5.34517230215014,-5.34377084329521,0.00140145885492338,0.001,0.5005,0.999,0.00144341686966872,"0.1% CI","[-5.3452, -5.3438]",TRUE
-5.3458730326783,-5.34307011276705,0.00280291991125736,0.002,0.501,0.998,0.00288827932482651,"0.2% CI","[-5.3459, -5.3431]",TRUE
-5.3465737654079,-5.34236938003745,0.00420438537044099,0.003,0.5015,0.997,0.00433459026389113,"0.3% CI","[-5.3466, -5.3424]",TRUE
-5.34727450143965,-5.3416686440057,0.00560585743395592,0.004,0.502,0.996,0.00578235259400611,"0.4% CI","[-5.3473, -5.3417]",TRUE
-5.34797524187436,-5.340967903571,0.0070073383033602,0.005,0.5025,0.995,0.00723156923107586,"0.5% CI","[-5.348, -5.341]",TRUE
-5.34867598781283,-5.34026715763252,0.00840883018030958,0.006,0.503,0.994,0.00868224309980088,"0.6% CI","[-5.3487, -5.3403]",TRUE
-5.34937674035596,-5.33956640508939,0.00981033526657704,0.007,0.5035,0.993,0.0101343771337132,"0.7% CI","[-5.3494, -5.3396]",TRUE
-5.35007750060472,-5.33886564484063,0.011211855764083,0.008,0.504,0.992,0.0115879742752118,"0.8% CI","[-5.3501, -5.3389]",TRUE
-5.35077826966013,-5.33816487578522,0.0126133938749167,0.009,0.5045,0.991,0.0130430374755989,"0.9% CI","[-5.3508, -5.3382]",TRUE
-5.35147904862336,-5.33746409682199,0.0140149518013644,0.01,0.505,0.99,0.0144995696951151,"1% CI","[-5.3515, -5.3375]",TRUE
-5.35217983859564,-5.33676330684971,0.0154165317459238,0.011,0.5055,0.989,0.0159575739029762,"1.1% CI","[-5.3522, -5.3368]",TRUE
-5.35288064067835,-5.336062504767,0.0168181359113415,0.012,0.506,0.988,0.0174170530774094,"1.2% CI","[-5.3529, -5.3361]",TRUE
-5.35358145597299,-5.33536168947236,0.0182197665006267,0.013,0.5065,0.987,0.0188780102056894,"1.3% CI","[-5.3536, -5.3354]",TRUE
-5.35428228558121,-5.33466085986414,0.0196214257170784,0.014,0.507,0.986,0.0203404482841755,"1.4% CI","[-5.3543, -5.3347]",TRUE
-5.35498313060483,-5.33396001484052,0.0210231157643133,0.015,0.5075,0.985,0.0218043703183484,"1.5% CI","[-5.355, -5.334]",TRUE
-5.35568399214582,-5.33325915329953,0.0224248388462875,0.016,0.508,0.984,0.0232697793228472,"1.6% CI","[-5.3557, -5.3333]",TRUE
-5.35638487130633,-5.33255827413902,0.0238265971673162,0.017,0.5085,0.983,0.0247366783215064,"1.7% CI","[-5.3564, -5.3326]",TRUE
-5.35708576918873,-5.33185737625662,0.0252283929321084,0.018,0.509,0.982,0.026205070347394,"1.8% CI","[-5.3571, -5.3319]",TRUE
-5.35778668689557,-5.33115645854978,0.0266302283457822,0.019,0.5095,0.981,0.0276749584428483,"1.9% CI","[-5.3578, -5.3312]",TRUE
-5.35848762552962,-5.33045551991573,0.0280321056138888,0.02,0.51,0.98,0.0291463456595165,"2% CI","[-5.3585, -5.3305]",TRUE
-5.3591885861939,-5.32975455925145,0.0294340269424467,0.021,0.5105,0.979,0.0306192350583921,"2.1% CI","[-5.3592, -5.3298]",TRUE
-5.35988956999165,-5.3290535754537,0.0308359945379539,0.022,0.511,0.978,0.0320936297098533,"2.2% CI","[-5.3599, -5.3291]",TRUE
-5.36059057802639,-5.32835256741896,0.032238010607422,0.023,0.5115,0.977,0.0335695326937018,"2.3% CI","[-5.3606, -5.3284]",TRUE
-5.36129161140187,-5.32765153404348,0.0336400773583918,0.024,0.512,0.976,0.0350469470992008,"2.4% CI","[-5.3613, -5.3277]",TRUE
-5.36199267122216,-5.32695047422319,0.0350421969989672,0.025,0.5125,0.975,0.036525876025114,"2.5% CI","[-5.362, -5.327]",TRUE
-5.36269375859159,-5.32624938685376,0.0364443717378311,0.026,0.513,0.974,0.0380063225797449,"2.6% CI","[-5.3627, -5.3262]",TRUE
-5.36339487461481,-5.32554827083054,0.0378466037842742,0.027,0.5135,0.973,0.0394882898809755,"2.7% CI","[-5.3634, -5.3255]",TRUE
-5.36409602039678,-5.32484712504857,0.0392488953482193,0.028,0.514,0.972,0.0409717810563062,"2.8% CI","[-5.3641, -5.3248]",TRUE
-5.3647971970428,-5.32414594840255,0.0406512486402448,0.029,0.5145,0.971,0.0424567992428948,"2.9% CI","[-5.3648, -5.3241]",TRUE
-5.36549840565848,-5.32344473978687,0.0420536658716077,0.03,0.515,0.97,0.0439433475875971,"3% CI","[-5.3655, -5.3234]",TRUE
-5.36619964734981,-5.32274349809554,0.0434561492542738,0.031,0.5155,0.969,0.045431429247006,"3.1% CI","[-5.3662, -5.3227]",TRUE
-5.36690092322314,-5.32204222222221,0.0448587010009334,0.032,0.516,0.968,0.0469210473874926,"3.2% CI","[-5.3669, -5.322]",TRUE
-5.36760223438519,-5.32134091106016,0.0462613233250337,0.033,0.5165,0.967,0.0484122051852459,"3.3% CI","[-5.3676, -5.3213]",TRUE
-5.36830358194308,-5.32063956350227,0.0476640184408001,0.034,0.517,0.966,0.0499049058263139,"3.4% CI","[-5.3683, -5.3206]",TRUE
-5.3690049670043,-5.31993817844105,0.049066788563259,0.035,0.5175,0.965,0.0513991525066443,"3.5% CI","[-5.369, -5.3199]",TRUE
-5.36970639067681,-5.31923675476854,0.0504696359082644,0.036,0.518,0.964,0.0528949484321255,"3.6% CI","[-5.3697, -5.3192]",TRUE
-5.37040785406894,-5.31853529137641,0.0518725626925267,0.037,0.5185,0.963,0.0543922968186278,"3.7% CI","[-5.3704, -5.3185]",TRUE
-5.37110935828949,-5.31783378715586,0.0532755711336286,0.038,0.519,0.962,0.0558912008920452,"3.8% CI","[-5.3711, -5.3178]",TRUE
-5.3718109044477,-5.31713224099765,0.0546786634500549,0.039,0.5195,0.961,0.0573916638883367,"3.9% CI","[-5.3718, -5.3171]",TRUE
